idx,side,x,y,z
0,r,0.6698896288871765,-0.09182856976985931,0.10567854344844818
0,l,0.5436780452728271,0.012444473803043365,0.10000000149011612
1,r,0.5939400792121887,-0.11211773008108139,0.10000000149011612
1,l,0.5699374079704285,-0.020059719681739807,0.11499999463558197
2,r,0.779786229133606,-0.2690386176109314,0.10000000149011612
2,l,0.44401705265045166,0.048018138855695724,0.10000000149011612
3,r,0.6836667656898499,-0.25010502338409424,0.10000000149011612
3,l,0.4334785044193268,0.04511471465229988,0.10000000149011612
4,r,0.6894567608833313,-0.13155776262283325,0.10000000149011612
4,l,0.5234162211418152,0.1171794980764389,0.10000000149011612
5,r,0.7258107662200928,-0.27907422184944153,0.10000000149011612
5,l,0.627732515335083,0.20675168931484222,0.11499999463558197
6,r,0.6531072854995728,-0.296558678150177,0.10000000149011612
6,l,0.5056365728378296,0.0042891725897789,0.10000000149011612
7,r,0.5882532596588135,-0.10176310688257217,0.10000000149011612
7,l,0.5590053200721741,0.049810655415058136,0.10000000149011612
8,r,0.7112104296684265,-0.2756349444389343,0.10999999940395355
8,l,0.5860318541526794,0.20047974586486816,0.11499999463558197
9,r,0.7234959602355957,-0.09875018894672394,0.10000000149011612
9,l,0.44703587889671326,-0.014145448803901672,0.10000000149011612
10,r,0.6732825636863708,-0.2548762261867523,0.10999999940395355
10,l,0.48562076687812805,0.0424242801964283,0.10000000149011612
11,r,0.613821804523468,-0.12747272849082947,0.10000000149011612
11,l,0.6368528604507446,0.16033874452114105,0.10000000149011612
12,r,0.5813252925872803,-0.12428925931453705,0.10000000149011612
12,l,0.5749617218971252,0.1601048856973648,0.10000000149011612
13,r,0.6660317778587341,-0.29219144582748413,0.10999999940395355
13,l,0.5495915412902832,0.05441552400588989,0.10000000149011612
14,r,0.6546357274055481,-0.24195601046085358,0.10510548204183578
14,l,0.553013801574707,0.18793106079101562,0.10000000149011612
15,r,0.6087026000022888,-0.14882124960422516,0.10999999940395355
15,l,0.5347065329551697,0.16003212332725525,0.10000000149011612
16,r,0.7054558396339417,-0.21739016473293304,0.10000000149011612
16,l,0.4258939325809479,-0.017456993460655212,0.10000000149011612
17,r,0.655445396900177,-0.19794303178787231,0.10999999940395355
17,l,0.459830105304718,0.0734919011592865,0.11499999463558197
18,r,0.6349115371704102,-0.301524817943573,0.10000000149011612
18,l,0.438693106174469,0.19812743365764618,0.11499999463558197
19,r,0.732016921043396,-0.11084946244955063,0.10999999940395355
19,l,0.4447768032550812,0.18921415507793427,0.10000000149011612
20,r,0.7737856507301331,-0.1049380898475647,0.10000000149011612
20,l,0.426412433385849,0.029704436659812927,0.10000000149011612
21,r,0.7763235569000244,-0.11342466622591019,0.10000000149011612
21,l,0.5225793123245239,0.07517863810062408,0.10000000149011612
22,r,0.6087676882743835,-0.23897236585617065,0.10999999940395355
22,l,0.47756868600845337,0.09950974583625793,0.10372455418109894
23,r,0.667271077632904,-0.08677230030298233,0.10999999940395355
23,l,0.46042773127555847,0.09433963894844055,0.10000000149011612
24,r,0.6483616828918457,-0.31114715337753296,0.10000000149011612
24,l,0.5206429362297058,-0.01264510303735733,0.10000000149011612
